"","des","x","y","MLBCODE","pitcher","type","team","inning","date","gameday_link","LASTNAME","FIRSTNAME","PLAYERID","DAVENPORTCODE","RETROSHEETCODE","batter_name","year"
"33","Flyout",62.99,95.73,596146,605483,"O","A",3,2018-04-05,"gid_2018_04_21_minmlb_tbamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"34","Flyout",71.03,57.05,596146,547888,"O","A",5,2018-04-05,"gid_2018_04_23_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"35","Flyout",73.6054322429907,92.1495327102804,596146,571858,"O","H",6,2019-03-28,"gid_2019_04_28_balmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"36","Flyout",74.48,88.25,596146,543521,"O","H",6,2018-04-05,"gid_2018_04_10_houmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"37","Flyout",76.91,90.41,592696,641816,"O","H",6,2018-04-05,"gid_2018_04_29_cinmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"38","Flyout",79.9605724299065,120.747663551402,596146,623381,"O","H",7,2019-03-28,"gid_2019_04_16_tormlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"39","Flyout",80.4284776222854,85.70854024647,592696,621107,"O","A",6,2019-03-28,"gid_2019_04_07_minmlb_phimlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"40","Flyout",81.967500421854,51.7150998273928,592696,605164,"O","H",5,2019-03-28,"gid_2019_04_28_balmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"41","Flyout",87.82,103.74,592696,641816,"O","H",1,2018-04-05,"gid_2018_04_29_cinmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"42","Flyout",89.02,125.19,596146,458690,"O","H",8,2018-04-05,"gid_2018_04_12_chamlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"43","Flyout",90.71,70.95,596146,642397,"O","H",3,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
